A111,A112,A121,A122,A131,A132,A141,A142,A151,A152,A161,A162,A171,A172,A241,A242,A251,A252,A261,A262,A271,A272
20-Yr A,Uncommitted,20-Yr A,Uncommitted,10-Yr,Uncommitted,20-Yr A,Uncommitted,20-Yr A,Uncommitted,20-Yr A,Uncommitted,20-Yr A,Uncommitted,FST,Uncommitted,FST,Uncommitted,FST,Uncommitted,FST,Uncommitted
20-Yr B,,20-Yr B,,20-Yr,,20-Yr B,Uncommitted (IJT),20-Yr B,Uncommitted (IJT),20-Yr B,Uncommitted (IJT),20-Yr B,Uncommitted (IJT),ST-A,,ST-A,,ST-A,,ST-A,
Temporary Diversion from Cushing,,Temporary Diversion from Cushing,,Permanent Diversion from Patoka,,Permanent Diversion from Cushing,,Permanent Diversion from Cushing,,Permanent Diversion from Cushing,,Permanent Diversion from Cushing,,ST-B,,ST-B,,ST-B,,ST-B,
Excess,,Excess,,Temporary Diversion from Patoka 20-Yr A,,Temporary Diversion from Patoka 20-Yr A,,Temporary Diversion from Patoka 20-Yr A,,Temporary Diversion from Patoka 20-Yr A,,Temporary Diversion from Patoka 20-Yr A,,2B,,2B,,2B,,2B,
,,,,Temporary Diversion from Patoka 20-Yr B,,Temporary Diversion from Patoka 20-Yr B,,Temporary Diversion from Patoka 20-Yr B,,Temporary Diversion from Patoka 20-Yr B,,Temporary Diversion from Patoka 20-Yr B,,2C,,2C,,2C,,2C,
,,,,Excess,,Excess,,Excess,,Excess,,Excess,,5,,5,,5,,5,
,,,,,,,,,,,,,,6A,,6A,,6A,,6A,
,,,,,,,,,,,,,,6B,,6B,,6B,,6B,
,,,,,,,,,,,,,,7,,7,,7,,7,
,,,,,,,,,,,,,,LT-A,,LT-A,,LT-A,,LT-A,
,,,,,,,,,,,,,,LT-B,,LT-B,,LT-B,,LT-B,
,,,,,,,,,,,,,,LT-C,,LT-C,,LT-C,,LT-C,
,,,,,,,,,,,,,,Excess,,Excess,,Excess,,Excess,
