Commodity,Value
AWB1,403.3840652
AWB2,543.636329
AWB3,808.8782476
AWB5,462.3414713
AWB6,688.5521429
BHB1,338.3381919
BHB2,489.5380284
BHB3,766.149983
BHB5,420.1942061
BHB6,597.3524254
BR1,337.2373085
BR2,369.2724085
BR3,518.2393251
BR5,342.6766199
BR6,454.4377469
BSH1,405.3107599
BSH2,543.6568326
BSH3,783.6008024
BSH5,455.0288797
BSH6,632.2847854
CDB1,415.6416906
CDB2,570.8181455
CDB3,820.545598
CDB5,474.2488335
CDB6,730.3463789
CL1,419.0542327
CL2,568.6606255
CL3,886.9050883
CL5,483.3124169
CL6,701.404914
CNX1,454.253553
CNX2,676.5478448
CNX3,1116.840887
CNX5,531.5733066
CNX6,831.1873522
CSB1,426.3325308
CSB2,636.8140825
CSB3,1055.629415
CSB5,499.3567426
CSB6,782.8625061
FRB1,461.427479
FRB2,695.3907078
FRB3,1167.649818
FRB5,542.6647112
FRB6,860.0314984
KH1,343.2350283
KH2,450.2420186
KH3,561.728265
KH5,401.855268
KH6,589.0516377
LLB1,397.7167788
LLB2,542.4602634
LLB3,833.5999957
LLB5,412.4928899
LLB6,686.32622
MKH1,553.7166759
MKH2,535.5093578
MKH3,610.1549044
MKH5,553.7166759
MKH6,514.0889834
PDH1,457.0948266
PDH2,672.6442827
PDH3,1095.07789
PDH5,532.9162433
PDH6,822.12079
PSH1,425.0950276
PSH2,631.7234967
PSH3,1039.599485
PSH5,497.1997538
PSH6,774.8567591
PXB1,458.2713658
PXB2,684.1645627
PXB3,1134.870128
PXB5,537.1718604
PXB6,841.9655518
SCS1,409.7398579
SCS2,563.3923046
SCS3,838.6862716
SCS5,465.2254636
SCS6,663.6932073
SHB1,366.4944322
SHB2,504.1863559
SHB3,672.9453536
SHB5,451.0318965
SHB6,615.1788699
SMA1,451.3540622
SMA2,669.0283617
SMA3,1100.108837
SMA5,527.1132547
SMA6,820.5467466
SYB1,999.8045254
SYB2,620.6051595
SYB3,1007.281696
SYB5,492.4250921
SYB6,757.3305646
WCS1,391.4181569
WCS2,600.5070227
WCS3,902.0637931
WCS5,488.2142371
WCS6,732.9888645
WDB1,454.7264353
WDB2,658.1566826
WDB3,1046.523518
WDB5,526.5253461
WDB6,796.3151929
WHB1,423.6848476
WHB2,626.8806419
WHB3,1025.70643
WHB5,495.0195414
WHB6,767.388372
SH1,409.6340746
SH2,562.8473403
SH3,834.9488166
SH5,464.2560621
SH6,661.5134483
ACS1,1.279941914
BKN1,0.433398962
CNS1,10.2
DSW1,0.807299949
OSA1,0.829879898
OSH1,22.50340766
OSY1,34.50522508
SW1,0.857995674
SWB1,1.089454905
SYN1,1.093768545
WTI1,0.806316636
SPC1,0.16225146
SPC2,0.16225146
WCC1,0.328855419
OSH,22.50340766
SWB,1.089454905
ACS,1.279941914
OSY,34.50522508
KH,39.48248254
CNS,10.2
